englishName,displayName,plantCouncilName,pcQuality,wholeSaleName,kind,varieties,type,whQaulity,Improted,image
Avocado Etinger,אבוקדו אטינגר,,,סוג א אטינגר אבוקדו,אבוקדו,אטינגר,סוג א,סוג א,,1
Avocado Ardit,אבוקדו ארדיט,,,אבוקדו ארדיט  ירוק,אבוקדו,ארדיט,ירוק,ירוק,,2
Avocado Ass,אבוקדו האס,,,אבוקדו  האס סוג א'מחוספס,אבוקדו,האס,סוג א'מחוספס,סוג א מחוספס,,3
Avocado Nevel,אבוקדו נבל,,,אבוקדו נבל סוג א,אבוקדו,נבל,סוג א,סוג א,,4
Avocado Poarta,אבוקדו פוארטה,,,אבוקדו פוארטה סוג א,אבוקדו,פוארטה,סוג א,סוג א,,5
Avocado Penkiltom,אבוקדו פנקילטון,,,אבוקדו  פנקילטון ירוק,אבוקדו,פנקילטון,ירוק,ירוק,,6
Avocado Rid,אבוקדו ריד,,,אבוקדו ריד,אבוקדו,ריד,,ריד,,7
Avocado Galil,אבוקדו גליל,,,אבוקדו גליל,אבוקדו,,גליל,גליל,,9
Watermelons Mini,אבטיחים מיני,,,אבטיחים מיני,אבטיחים,מיני,,מיני,,10
Watermelons Seedless ,אבטיחים סידלס,אבטיח ארמיס,ארמיס מובחר,אבטיחים סידלס קרטונים,אבטיחים,סידלס,קרטונים,קרטונים,,11
Watermelons Seedless ,אבטיחים סידלס,אבטיח ארמיס,ארמיס סוג א,אבטיחים  סידלס במיכלים,אבטיחים,סידלס,במיכלים,מיכלים,,12
Watermelons Crimson ,אבטיחים קרימסון,אבטיח, סוג א,אבטיחים קרימסון קרטונים,אבטיחים,קרימסון,קרטונים,קרטונים,,13
Watermelons Crimson ,אבטיחים קרימסון,אבטיח,מובחר,,,,,,,
Pears Jentle,אגסים ג'נטיל,,,אגסים  ג'נטיל ק' 4.5מותג,אגסים,ג'נטיל,ק' 4.5 מותג,ק'4.5 מותג,,14
Pears Spedona,אגסים ספדונה,,,אגסים ספדונה ק' 5.5מותג,אגסים,ספדונה,ק' 5.5 מותג,ק'5.5 מותג,,15
Pears Spedona,אגסים ספדונה,,,אגסים ספדונה ק' 6מותג,אגסים,ספדונה,ק' 6 מותג,ק' 6 מותג,,16
Pears Spedona,אגסים ספדונה,,,אגסים ספדונה ק' 6.5מותג,אגסים,ספדונה,ק' 6.5 מותג,ק' 6.5 מותג,,17
