גליל מערבי,אחים סמאר בע"מ
גליל מערבי,מרינה פטריות הגליל בע"מ
גליל מערבי,פרי וירק טמרה ושות'
השרון,אחים לוטרינגר בע"מ
השרון,גזר שליט (חוות מיכאל) בע"מ
השרון,גלי משה- בוקר שיווק ואריזה
השרון,יבולי טירה שיווק פירות וירקות
השרון,משק כרמי יצור ושיווק תוצרת חקלאית 
השרון,עוזר איתן
השרון,פרי דויד 
השרון,רגב חברה חלאית 
השרון,שיווק המאה (מסחר) 2002 
השרון,תלמים שיווק תוצרת חקלאית
השרון,תפודי אש 
השרון,תפודי חן למיון ושיווק 
חדרה,הרוניאן צדוק פירות וירקות
חדרה,ע.י.ר.ם תעשיות מזון טרי 
חדרה,צמח אבוקדו 
חדרה,שיווק טבריה סיטונאות פירות וירקות
טירה (חיפה),אום אלנור חברה לשיווק פירות וירקות 
מרכז,אגרקסקו חברה ליצוא חקלאי בע"מ
מרכז,אחים כהן גידול ירקות בע"מ
מרכז,ביכורי השדה צפון
מרכז,הר חקלאות 
מרכז,טריפל אספקה ושיווק תוצרת חקלאית
מרכז,יחדיו קו-אופ
מרכז,מהדרין תנופורט יצוא
מרכז,קטיף בע"מ
מרכז,תוצרת חקלאית מובחרת
מרכז,תנובה מרכז שיתופי לשיווק תוצרת חקלאית בישראל
עפולה,יבולי הגלבוע
עפולה,כהן משה- תבלין ופרח
עפולה,כרמל יבולים
עפולה,עטרה שיווק פירות וירקות
עפולה,תנובת העמק ושות'
דרום,א.א שרון יבולים בע"מ
דרום,אבשלום מפעלים אזוריים אגודה שיתופית חקלאית
דרום,א.ג.מ אבשלום גזר מובחר- אגודה שיתופית חקלאית
דרום,אחו גידולי שדה 
דרום,אסולין מאיר
דרום,בוסתן עשבי תיבול טריים
דרום,גידולי אג"ו
דרום,חבל מעון
דרום,יבולים בשער הנגב 
דרום,יופי של ירקות
דרום,ינאי מרכז פרי וירק
דרום,לכיש מושב עובדים
דרום,מושב באר צופר
