תאריך,שם ירק,סוג א,מובחר
31/12/2012,עגבניות חממה ,4.4,4.8
31/12/2012,עגבניות באשכולות ,4.4,4.8
31/12/2012,עגבניות שרי באשכולות,8,8.4
31/12/2012,תפוא"ד שקים,2.5,2.7
31/12/2012,תפוא"ד באריזה קמעונאית,3.1,3.3
31/12/2012,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.6,3.8
31/12/2012,תפוא"ד אדום בשקים,2.6,2.7
31/12/2012,תפוא"ד אדום באריזה קמעונאית,2.8,3
31/12/2012,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.6,3.8
31/12/2012,גזר בשקים,2.4,2.6
31/12/2012,גזר באריזה קמעונאית,2.6,3
31/12/2012,בצל אדום,4,4.2
31/12/2012,בצל בית אלפא,3.4,3.6
31/12/2012,שום,15,16
31/12/2012,פלפל קליפורני,4,4.5
31/12/2012,פלפל בהיר,3.4,3.8
31/12/2012,פלפל אדום איכות מעולה,4.8,5.2
31/12/2012,פלפל צהוב חממה,4.8,5.2
31/12/2012,פלפל כתום,5.2,5.5
31/12/2012,פלפל חריף,2.6,2.8
31/12/2012,חצילים,2,2.4
31/12/2012,חציל חממה ,4.7,5
31/12/2012,מלפפון חממה ,3,
31/12/2012,כרוב לבן,1.2,
31/12/2012,כרוב אדום,2.2,
31/12/2012,שומר,3,3.4
31/12/2012,כרובית,2.8,3.2
31/12/2012,קישואים,3,3.5
31/12/2012,חסה 8 יחידות,23,25
31/12/2012,מילון גליה מעולה,6.4,6.8
31/12/2012,צנון,2.5,2.8
31/12/2012,סלק,2.4,2.6
31/12/2012,לפת איכות מעולה,1.8,2.2
31/12/2012,דלעת,3,3.4
31/12/2012,דלורית,3.4,3.6
31/12/2012,בטטות,4,4.5
31/12/2012,בטטות איכות מעולה,6.8,7.2
31/12/2012,ברוקולי באריזה קמעונאית,9,
31/12/2012,קולורבי,6,6.4
31/12/2012,שעועית ירוקה,9,11
31/12/2012,לוף,13,
31/12/2012,בצל ירוק,8.8,9.2
31/12/2012,תירס באריזה קמעונאית,5.2,5.6
31/12/2012,ארטישוק,11,
30/12/2012,עגבניות חממה ,4.2,4.5
30/12/2012,עגבניות באשכולות ,4.2,4.6
30/12/2012,עגבניות שרי באשכולות,7.8,8.2
30/12/2012,תפוא"ד שקים,2.5,2.7
30/12/2012,תפוא"ד באריזה קמעונאית,3.1,3.3
30/12/2012,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.6,3.8
30/12/2012,תפוא"ד אדום בשקים,2.6,2.7
30/12/2012,תפוא"ד אדום באריזה קמעונאית,2.8,3
30/12/2012,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.6,3.8
30/12/2012,גזר בשקים,2.4,2.6
30/12/2012,גזר באריזה קמעונאית,2.6,3
30/12/2012,בצל אדום,4,4.2
30/12/2012,בצל בית אלפא,3.4,3.6
30/12/2012,שום,15,16
30/12/2012,פלפל קליפורני,4,4.5
30/12/2012,פלפל בהיר,3.4,3.8
30/12/2012,פלפל אדום איכות מעולה,4.8,5.2
