date,englishName,jewishNames,minPrice,maxPrice
31/12/2014,Greenhouse tomatoes,עגבניות חממה,2.20,2.60
31/12/2014,Cluster tomatoes,עגבניות באשכולות,2.80,3.20
31/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.80,
31/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
31/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
31/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
31/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
31/12/2014,Retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
31/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
31/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
31/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
31/12/2014,Riverside Onion,בצל ריברסייד,2.20,
31/12/2014,Red onion,בצל אדום,2.80,
31/12/2014,Garlic,שום,14.00,
31/12/2014,California pepper,פלפל קליפורני,3.20,
31/12/2014,Bright pepper,פלפל בהיר,3.00,
31/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
31/12/2014,Orange pepper,פלפל כתום,4.20,4.60
31/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
31/12/2014,Hot pepper,פלפל חריף,2.60,
31/12/2014,Greenhouse Eggplant,חצילים חממה,3.00,
31/12/2014,Greenhouse cucumbers,מלפפונים חממה,4.00,
31/12/2014,White cabbage,כרוב לבן,1.30,
31/12/2014,Red cabbage,כרוב אדום,2.40,
31/12/2014,Fennel,שומר,2.20,
31/12/2014,Cauliflower,כרובית,2.20,2.60
31/12/2014,courgette excellent quality,קישואים איכות מעולה,3.30,
31/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
31/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
31/12/2014,Orange Mellon,מילון כתום,4.50,5.00
31/12/2014,Radish,צנון,2.40,
31/12/2014,Small Radish packaging,צנונית באריזה,3.20,
31/12/2014,Beetroot,סלק,2.40,
31/12/2014,Turnip Graet quality,לפת איכות מעולה,2.80,
31/12/2014,Pumpkin,דלעת,2.80,
31/12/2014,Butternut,דלורית,3.20,
31/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
31/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
31/12/2014,Kohlrabi,קולורבי,3.00,
31/12/2014,Green beans,שעועית ירוקה,12.00,
31/12/2014,Arum,לוף,5.00,5.40
31/12/2014,Green onion,בצל ירוק,4.20,
31/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.40,5.80
30/12/2014,Greenhouse tomatoes,עגבניות חממה,2.20,2.60
30/12/2014,Cluster tomatoes,עגבניות באשכולות,2.80,3.20
30/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.80,
30/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
30/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
30/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
30/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
30/12/2014,retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
30/12/2014,Retail packaging red potato excellent quality,תפוא"ד אדום באריזה קמעונאית איכות מעולה,3.80,4.00
30/12/2014,Carrot sacks,גזר בשקים,2.80,3.00
30/12/2014,Retail packaging carrot,גזר באריזה קמעונאית,3.30,3.50
30/12/2014,Riverside Onion,בצל ריברסייד,2.20,
30/12/2014,Red onion,בצל אדום,2.60,
30/12/2014,Garlic,שום,14.00,
30/12/2014,California pepper,פלפל קליפורני,3.50,
30/12/2014,Bright pepper,פלפל בהיר,3.00,
30/12/2014,Red pepper ecxellent quality,פלפל אדום איכות מעולה,4.00,4.40
30/12/2014,Orange pepper,פלפל כתום,4.20,4.60
30/12/2014,Yellow pepper ecxellent quality,פלפל צהוב איכות מעולה,4.00,4.40
30/12/2014,Hot pepper,פלפל חריף,2.60,
30/12/2014,Greenhouse Eggplant,חצילים חממה,3.00,
30/12/2014,Greenhouse cucumbers,מלפפונים חממה,3.80,
30/12/2014,White cabbage,כרוב לבן,1.30,
30/12/2014,Red cabbage,כרוב אדום,2.40,
30/12/2014,Fennel,שומר,2.20,
30/12/2014,Cauliflower,כרובית,2.20,2.60
30/12/2014,courgette excellent quality,קישואים איכות מעולה,3.00,
30/12/2014,Lettuce 8 units,חסה 8 יחידות,20.00,22.00
30/12/2014,Galia Mellon Great quality,מילון גליה מעולה,4.50,5.00
30/12/2014,Orange Mellon,מילון כתום,4.50,5.00
30/12/2014,Radish,צנון,2.40,
30/12/2014,Small Radish packaging,צנונית באריזה,3.20,
30/12/2014,Beetroot,סלק,2.40,
30/12/2014,Turnip Graet quality,לפת איכות מעולה,2.80,
30/12/2014,Pumpkin,דלעת,2.80,
30/12/2014,Butternut,דלורית,3.20,
30/12/2014,Sweet potato graet qulity,בטטות איכות מעולה,6.00,
30/12/2014,Broccoli retail packaging,ברוקולי באריזה קמעונאית,12.00,
30/12/2014,Kohlrabi,קולורבי,3.00,
30/12/2014,Green beans,שעועית ירוקה,12.00,
30/12/2014,Arum,לוף,5.00,5.40
30/12/2014,Green onion,בצל ירוק,4.20,
30/12/2014,Corn retail packaging,תירס באריזה קמעונאית,5.40,5.80
29/12/2014,Greenhouse tomatoes,עגבניות חממה,2.20,2.60
29/12/2014,Cluster tomatoes,עגבניות באשכולות,2.80,3.20
29/12/2014,Cherry tomatoes in clusters,עגבניות שרי באשכולות,4.80,
29/12/2014,Potato sacks,תפוא"ד שקים,2.50,2.70
29/12/2014,Retail packaging potato,תפוא"ד באריזה קמעונאית,2.80,3.00
29/12/2014,Retail packaging white potato Excellent quality ,תפוא"ד באריזה קמעונאית לבן איכות מעולה,3.50,3.70
29/12/2014,Red potato sacks,תפוא"ד אדום בשקים,2.60,2.80
29/12/2014,Retail packaging red potato,תפוא"ד אדום באריזה קמעונאית,2.90,3.10
