date,kind,varieties,type,price
9/17/2015,לימונים,לימונים,סוג א,6.60
9/17/2015,קלמנטינות,סצומה,.,5.40
9/17/2015,תפוזים,ולנסיה,סוג א',6.25
9/17/2015,אבטיחים,מיני,.,3.15
9/17/2015,בטטות,,מ- 250 גר סוג א,4.10
9/17/2015,בצל,אדום,מקומי,1.95
9/17/2015,בצל,ירוק,ארוז סוג א,13.75
9/17/2015,בצל,ירוק,תפזורת סוג א,8.80
9/17/2015,בצל,ריברסייד,ק' 77-50 סוג א,1.85
9/17/2015,ברוקולי,,ארוז,15.00
9/17/2015,גזר,,ארוז,4.50
9/17/2015,גזר,,תפזורת סוג א,3.95
9/17/2015,דלורית,,סוג א,1.95
9/17/2015,דלעת,,בין 25-10 ק"ג א,1.85
9/17/2015,חזרת,,ב- 30-10 ס' א,30.00
9/17/2015,חסה,עגולה,יח' 1 סוג א,5.30
9/17/2015,חסה,ערבית,יח' 1 סוג א,3.90
9/17/2015,חצילים,,חממה,5.60
9/17/2015,כרוב,אדום,1-0.5 ק"ג סוג א,6.00
9/17/2015,כרוב,לבן,1-0.8 ק"ג סוג א,3.90
9/17/2015,כרובית,,בין 1.2-1 ק"ג א,7.20
9/17/2015,לוביה,,סוג א',19.35
9/17/2015,לוף,,ב- 10-7 ס"מ א,6.90
9/17/2015,מלונים,,כתום,4.60
9/17/2015,מלונים,גליה,מותג,4.60
9/17/2015,מלפפון,,.,10.00
9/17/2015,סלק,,ק' 85-60 סוג א,4.50
9/17/2015,עגבניות,חממה,.,8.50
9/17/2015,עגבניות,צ`רי,אשכולות,10.80
9/17/2015,עגבניות,צ`רי,תמר אשכולות,13.20
9/17/2015,פטריות,שמפניון,ק' 50 ממ' סוג א,23.75
9/17/2015,פלפל,אדום,חממה,12.00
9/17/2015,פלפל,חריף,ירוק,7.40
9/17/2015,פלפל,ירוק בהיר,.,7.70
9/17/2015,פלפל,ירוק כהה,ק' 70-60 סוג-א,7.15
9/17/2015,פלפל,צהוב,ק' 75-65 סוג א,12.60
9/17/2015,צנוניות,,ארוז,5.00
9/17/2015,קולורבי,,ב- 1-0.5 קג'  א,10.25
9/17/2015,קשואים,מקומי,סוג א,10.90
9/17/2015,שום,יבוא,סוג א,16.60
9/17/2015,שום,יבש,ק' 50-20 סוג א,13.80
9/17/2015,שומר,,סוג א,5.50
9/17/2015,שעועית,ירוקה,10-7 ס"מ סוג א,16.65
9/17/2015,תירס,,ארוז סוג א,4.60
9/17/2015,תפוח אדמה,דזירה,ארוז סוג א,3.20
9/17/2015,תפוח אדמה,דזירה,תפזורת סוג א,2.20
9/17/2015,תפוח אדמה,לבן,ארוז סוג א,2.80
9/17/2015,תפוח אדמה,לבן,תפזורת סוג א,1.65
9/17/2015,אבוקדו,,גליל,7.40
9/17/2015,אגסים,ספדונה,ק' 6 מותג,6.10
9/17/2015,אגסים,ספדונה,ק' 6.5 מותג,7.20
9/17/2015,אגסים,ספדונה,ק' 7 מותג,8.40
9/17/2015,אננס,,סוג א,21.20
9/17/2015,אפרסקים,ספטמבר,ק' 6.5 סוג א,7.20
9/17/2015,אפרסקים,ספטמבר,ק' 7 סוג א,8.50
9/17/2015,אפרסקים,ספטמבר,ק' 7.5 סוג א,9.30
9/17/2015,בננות,,סוג א,5.30
9/17/2015,גויבות,,סוג א',11.00
9/17/2015,חבושים,,סוג א,10.60
9/17/2015,מנגו,טומי,סוג א,7.60
9/17/2015,מנגו,קנט,סוג א,5.50
9/17/2015,מנגו,שלי,סוג א,9.20
9/17/2015,נקטרינות,אדומות,ק' 6 מותג,6.55
9/17/2015,נקטרינות,אדומות,ק' 6.5 מותג,7.40
9/17/2015,נקטרינות,אדומות,ק' 7 מותג,8.10
9/17/2015,נקטרינות,לבנות,ק' 6 מותג,7.10
9/17/2015,נקטרינות,לבנות,ק' 6.5 מותג,8.00
9/17/2015,נקטרינות,לבנות,ק' 7 מותג,9.35
9/17/2015,ענבים,,קרימסון,7.25
9/17/2015,ענבים,,קרימסון מותג,12.00
9/17/2015,ענבים,זייני,מותג,12.00
9/17/2015,ענבים,זייני,סוג א,5.00
9/17/2015,ענבים,טומפסון,מותג,12.00
9/17/2015,ענבים,טומפסון,סוג א',6.40
9/17/2015,ענבים,רדגלוב,מותג,8.00
9/17/2015,ענבים,רדגלוב,סוג א,4.10
9/17/2015,צבר,,מובחר,12.80
9/17/2015,קיווי,הוארד,סוג א מותג,13.60
9/17/2015,קיווי,ייבוא,סוג א,22.00
9/17/2015,רימונים,,.,5.10
9/17/2015,שזיפים,סוג 440,.,7.80
9/17/2015,שזיפים,שגיב,סוג א' מאורך,8.00
9/17/2015,תמרים,תמרים ברהי,סוג א,8.00
9/17/2015,תפוחים,גלה,ק' 6.5 מותג,4.50
9/17/2015,תפוחים,גלה,ק' 7 מותג,5.70
9/17/2015,תפוחים,גלה,ק' 7.5 מותג,6.90
9/17/2015,תפוחים,גרני סמיט,ק' 6.5 מותג,4.85
9/17/2015,תפוחים,גרני סמיט,ק' 7 מותג,5.85
9/17/2015,תפוחים,גרני סמיט,ק' 7.5 מותג,6.85
9/17/2015,תפוחים,זהוב דלישס,ק' 6.5 מותג,4.50
9/17/2015,תפוחים,זהוב דלישס,ק' 7 מותג,5.60
9/17/2015,תפוחים,זהוב דלישס,ק' 7.5 מותג,6.60
9/17/2015,תפוחים,סטרקינג דל,ק' 6.5 מותג,4.75
9/17/2015,תפוחים,סטרקינג דל,ק' 7 מותג,5.75
9/17/2015,תפוחים,סטרקינג דל,ק' 7.5 מותג,6.75
9/16/2015,לימונים,לימונים,סוג א,6.40
9/16/2015,קלמנטינות,סצומה,.,4.80
9/16/2015,תפוזים,ולנסיה,סוג א',6.25
9/16/2015,אבטיחים,מיני,.,3.20
9/16/2015,בטטות,,מ- 250 גר סוג א,3.90
9/16/2015,בצל,אדום,מקומי,1.90
9/16/2015,בצל,ירוק,ארוז סוג א,12.60
9/16/2015,בצל,ירוק,תפזורת סוג א,8.40
9/16/2015,בצל,ריברסייד,ק' 77-50 סוג א,1.60
9/16/2015,ברוקולי,,ארוז,15.00
9/16/2015,גזר,,ארוז,4.50
9/16/2015,גזר,,תפזורת סוג א,3.95
9/16/2015,דלורית,,סוג א,2.00
9/16/2015,דלעת,,בין 25-10 ק"ג א,1.95
9/16/2015,חזרת,,ב- 30-10 ס' א,30.00
9/16/2015,חסה,עגולה,יח' 1 סוג א,5.30
9/16/2015,חסה,ערבית,יח' 1 סוג א,3.90
9/16/2015,חצילים,,חממה,5.70
9/16/2015,כרוב,אדום,1-0.5 ק"ג סוג א,5.80
9/16/2015,כרוב,לבן,1-0.8 ק"ג סוג א,3.80
